id,participant_id,trial_index,case_id,case_position,block,protocol,difficulty_tier,difficulty_score,y_true,pred_prob,model_correct,model_optimal,decision_init,prob_estimate_init,time_to_init_ms,decision_final,prob_estimate_final,confidence,time_to_final_ms,total_trial_ms,created_at
aa585083-934d-4d5e-8ed2-80912121eab8,190473ad-81e1-4111-a63f-cd8cc9b38361,-2,731479,-2,practice,ai_first,easy,0.089268,0,0.058615,1,1,,,,1,0.65,,23559,23559,2026-04-22T09:10:29.136643+00:00
b8dda6e2-b4b9-4b19-8fbe-0ef7d3c69d56,190473ad-81e1-4111-a63f-cd8cc9b38361,-1,252416,-1,practice,ai_first,hard,0.781741,1,0.578106,1,1,,,,0,0.65,,8504,8504,2026-04-22T09:10:39.618583+00:00
7960b6fd-a858-4419-952d-12abe340f458,190473ad-81e1-4111-a63f-cd8cc9b38361,1,2668,5,block_1,human_first,medium,0.377186,1,0.234348,0,0,1.0,0.33,8575.0,0,0.65,,4247,12822,2026-04-22T09:10:55.714756+00:00
bfb933fe-34a0-4462-a26a-76130ae85763,190473ad-81e1-4111-a63f-cd8cc9b38361,2,37221,4,block_1,human_first,hard,0.744436,1,0.94613,1,1,0.0,0.81,3796.0,0,0.81,,4293,8089,2026-04-22T09:11:04.216946+00:00
5e2c7b92-f1bf-4dd5-8f01-f84e00198c6c,190473ad-81e1-4111-a63f-cd8cc9b38361,3,777203,1,block_1,human_first,easy,0.307547,1,0.311574,0,0,0.0,0.71,5557.0,0,0.71,,7752,13309,2026-04-22T09:11:17.88185+00:00
8df5e22d-7fce-45ae-a3f1-2ccb1d2468eb,190473ad-81e1-4111-a63f-cd8cc9b38361,4,765600,3,block_1,human_first,hard,0.78429,0,0.868101,0,1,0.0,0.78,3059.0,0,0.78,,3659,6718,2026-04-22T09:11:24.959453+00:00
d2b687f3-78aa-4111-a9e3-476c3f195922,190473ad-81e1-4111-a63f-cd8cc9b38361,5,161,6,block_1,human_first,medium,0.592555,0,0.168642,1,0,0.0,0.85,4423.0,0,0.85,,5866,10289,2026-04-22T09:11:35.578317+00:00
865a63a3-d0e5-49f4-8913-8061a5ec0747,190473ad-81e1-4111-a63f-cd8cc9b38361,6,49639,2,block_1,human_first,easy,0.162701,0,0.054726,1,1,0.0,0.74,3350.0,0,0.74,,4052,7402,2026-04-22T09:11:43.320159+00:00
4eb7123e-80ed-4a29-853e-f3c6ebe99a31,190473ad-81e1-4111-a63f-cd8cc9b38361,7,710322,12,block_2,ai_first,medium,0.343912,0,0.188803,1,0,,,,0,0.5,,5426,5426,2026-04-22T09:11:50.87368+00:00
cc7688a6-b943-4b23-8018-2f97c2114bbb,190473ad-81e1-4111-a63f-cd8cc9b38361,8,791841,9,block_2,ai_first,hard,0.78429,0,0.842869,0,1,,,,0,0.69,,4004,4004,2026-04-22T09:11:55.173001+00:00
b3181e4f-1e42-4d8e-8d6b-52256c4bb3aa,190473ad-81e1-4111-a63f-cd8cc9b38361,9,776034,11,block_2,ai_first,medium,0.353885,1,0.267119,0,0,,,,0,0.73,,4514,4514,2026-04-22T09:12:00.021022+00:00
53f9a50e-1aca-4e44-9cb5-9d1889221e78,190473ad-81e1-4111-a63f-cd8cc9b38361,10,241937,8,block_2,ai_first,easy,0.225732,0,0.074984,1,1,,,,0,0.7,,8523,8523,2026-04-22T09:12:08.87705+00:00
c943be2a-d499-4204-b514-1edf21770dce,190473ad-81e1-4111-a63f-cd8cc9b38361,11,165503,10,block_2,ai_first,hard,0.744436,1,0.923224,1,1,,,,0,0.69,,28360,28360,2026-04-22T09:12:37.573315+00:00
d84e2846-b686-4034-a171-8b9cd314e97c,190473ad-81e1-4111-a63f-cd8cc9b38361,12,6272,7,block_2,ai_first,easy,0.30891,1,0.333333,0,0,,,,0,0.81,,3452,3452,2026-04-22T09:12:41.334241+00:00
9625d043-349b-43b3-8bb8-07df897e5bd4,190473ad-81e1-4111-a63f-cd8cc9b38361,13,29292,13,block_3,no_ai,easy,0.328147,1,0.37037,0,0,,,,0,0.78,,22149,22149,2026-04-22T09:13:07.269727+00:00
9a954a9f-0079-4a24-b2d7-6018f6f2bf6c,190473ad-81e1-4111-a63f-cd8cc9b38361,14,727176,14,block_3,no_ai,easy,0.141881,0,0.101631,1,1,,,,0,0.65,,3630,3630,2026-04-22T09:13:11.201421+00:00
f6f2d41e-c045-4c70-bad0-cd93fe4e987e,190473ad-81e1-4111-a63f-cd8cc9b38361,15,785690,15,block_3,no_ai,hard,0.744436,0,0.822149,0,1,,,,0,0.77,,3014,3014,2026-04-22T09:13:14.495953+00:00
ef052e19-1d51-43f7-a4e1-8ba3dcb89902,190473ad-81e1-4111-a63f-cd8cc9b38361,16,274352,16,block_3,no_ai,hard,0.744436,1,0.901361,1,1,,,,0,0.81,,4444,4444,2026-04-22T09:13:19.235149+00:00
668ec654-b64d-44cb-94b6-d61d8ad43950,190473ad-81e1-4111-a63f-cd8cc9b38361,17,33,18,block_3,no_ai,medium,0.584377,0,0.210035,1,0,,,,0,0.76,,4191,4191,2026-04-22T09:13:23.727768+00:00
ee63c31c-1658-469b-bf47-7c960bec6fcf,190473ad-81e1-4111-a63f-cd8cc9b38361,18,208784,17,block_3,no_ai,medium,0.524324,1,0.289308,0,0,,,,0,0.7,,3854,3854,2026-04-22T09:13:27.898905+00:00
1c070275-b48e-4232-bf9b-6a47e47c3a0f,9bc6e4f4-0d28-43a1-9932-397d19365d8a,-2,731479,-2,practice,ai_first,easy,0.089268,0,0.058615,1,1,,,,0,0.34,,13376,13376,2026-04-22T09:16:39.775922+00:00
82e4c40d-cdf8-4ff8-b502-ad14b02cd9cb,9bc6e4f4-0d28-43a1-9932-397d19365d8a,-1,252416,-1,practice,ai_first,hard,0.781741,1,0.578106,1,1,,,,1,0.3,,4259,4259,2026-04-22T09:16:45.940771+00:00
4fbf1a61-322a-4a34-961b-f2a53b6ee1e3,3c80e1af-422f-40d9-9ba3-09108b1b5287,-2,731479,-2,practice,ai_first,easy,0.089268,0,0.058615,1,1,,,,1,0.39,,26214,26214,2026-04-22T19:22:46.654157+00:00
6e68cdfd-5634-46a3-a5d6-a2c8547a1719,3c80e1af-422f-40d9-9ba3-09108b1b5287,-1,252416,-1,practice,ai_first,hard,0.781741,1,0.578106,1,1,,,,0,0.58,,5453,5453,2026-04-22T19:22:54.067624+00:00
