case_id,case_position,block,loan_amnt,term,int_rate,log_annual_inc,dti,revol_util,home_ownership,purpose,credit_history_years,pred_prob,y_true,difficulty_tier,difficulty_score,correct,confidence,conf_bin,model_optimal
777203,1,block_1,18000,60 months,10.91,10.714439990727769,23.49,43.0,RENT,debt_consolidation,7.915126625598905,0.3115741722459402,1,easy,0.3075467743248866,0,0.6884258277540598,low,0
49639,2,block_1,11000,36 months,5.32,10.59665973278358,10.92,35.9,MORTGAGE,debt_consolidation,27.750855578370977,0.05472636815920398,0,easy,0.1627008792216782,1,0.945273631840796,high,1
765600,3,block_1,30225,60 months,30.75,11.050905878263569,29.2,92.9,RENT,debt_consolidation,19.249828884325805,0.8681014204778179,0,hard,0.7842903563295328,0,0.8681014204778179,high,1
37221,4,block_1,18000,60 months,28.72,10.085850775128716,39.53,96.4,OWN,credit_card,18.25325119780972,0.9461301540171633,1,hard,0.7444359170466324,1,0.9461301540171633,high,1
2668,5,block_1,11450,36 months,15.02,10.999446323738674,16.06,66.3,RENT,moving,6.165639972621492,0.23434782608695648,1,medium,0.3771857893462993,0,0.7656521739130435,high,0
161,6,block_1,4000,36 months,18.94,12.07254696717504,18.78,59.4,MORTGAGE,credit_card,28.501026694045173,0.16864155734236144,0,medium,0.592555396705362,1,0.8313584426576386,high,0
6272,7,block_2,40000,60 months,13.56,11.51293546492023,6.02,20.6,MORTGAGE,small_business,12.0,0.33333333333333326,1,easy,0.3089102381888943,0,0.6666666666666667,low,0
241937,8,block_2,10000,36 months,9.8,11.31448672129398,9.56,84.0,MORTGAGE,debt_consolidation,3.915126625598905,0.07498398265861846,0,easy,0.2257317419346762,1,0.9250160173413815,high,1
791841,9,block_2,25450,60 months,30.84,11.002116507732016,28.8,74.0,RENT,debt_consolidation,7.498973305954825,0.8428692169196332,0,hard,0.7842903563295328,0,0.8428692169196332,high,1
165503,10,block_2,13200,60 months,28.14,10.404293143019792,39.53,54.3,RENT,debt_consolidation,11.917864476386036,0.9232235741897558,1,hard,0.7444359170466324,1,0.9232235741897558,high,1
776034,11,block_2,8750,36 months,12.62,10.308985993422082,29.88,13.4,RENT,debt_consolidation,15.496235455167694,0.26711857323151317,1,medium,0.3538847827146685,0,0.7328814267684869,low,0
710322,12,block_2,32000,60 months,13.99,12.398216637210178,15.28,68.5,MORTGAGE,credit_card,12.503764544832306,0.18880323479396555,0,medium,0.3439123355993629,1,0.8111967652060345,high,0
29292,13,block_3,19200,60 months,15.04,11.39640288460621,2.55,4.8,RENT,small_business,12.6652977412731,0.37037037037037035,1,easy,0.328146909286892,0,0.6296296296296297,low,0
727176,14,block_3,12000,36 months,7.99,10.819798284210286,17.15,23.9,OWN,home_improvement,37.91649555099247,0.10163096380560756,0,easy,0.1418811739888198,1,0.8983690361943925,high,1
785690,15,block_3,35000,60 months,28.72,10.308985993422082,26.48,48.7,RENT,credit_card,14.001368925393566,0.822148511713098,0,hard,0.7444359170466324,0,0.822148511713098,high,1
274352,16,block_3,14075,60 months,30.84,10.59665973278358,27.36,49.5,RENT,debt_consolidation,11.082819986310746,0.9013607399119064,1,hard,0.7444359170466324,1,0.9013607399119064,high,1
208784,17,block_3,8725,36 months,18.99,10.165890277802454,5.22,35.5,OWN,debt_consolidation,6.50239561943874,0.28930764186642866,1,medium,0.5243235838078453,0,0.7106923581335713,low,0
33,18,block_3,2500,36 months,18.94,11.461642696843066,17.34,31.0,MORTGAGE,debt_consolidation,16.0,0.2100350058343057,0,medium,0.5843770882413559,1,0.7899649941656943,high,0
