case_id,difficulty_tier,pred_prob,y_true,mean_cost,mean_accuracy,n_trials
1183988,easy,0.0547,0,0.22,0.78,100
828575,easy,0.075,0,0.17,0.83,100
1100864,easy,0.1016,0,0.23,0.77,100
819289,medium,0.1686,0,0.07,0.93,100
1121112,medium,0.1888,0,0.14,0.86,100
819343,medium,0.21,0,0.3,0.7,100
819669,medium,0.2343,1,3.8,0.24,100
1185020,medium,0.2671,1,1.8,0.64,100
835430,medium,0.2959,1,3.95,0.21,100
844888,easy,0.3333,1,1.7,0.66,100
937917,easy,0.3704,1,2.25,0.55,100
898146,easy,0.3971,1,0.75,0.85,100
1176206,hard,0.7785,0,0.94,0.06,100
1219112,hard,0.8312,0,0.94,0.06,100
1258386,hard,0.8578,1,0.45,0.91,100
1215065,hard,0.8996,0,0.98,0.02,100
932198,hard,0.9232,1,0.05,0.99,100
1263657,hard,0.9461,1,0.2,0.96,100
